t,x,dxdt,method
0.0,0.0,dx/dt = t*t*t,actual
1.0,0.25000,dx/dt = t*t*t,actual
2.0,4.00000,dx/dt = t*t*t,actual
3.0,20.25000,dx/dt = t*t*t,actual
4.0,64.00000,dx/dt = t*t*t,actual
5.0,156.25000,dx/dt = t*t*t,actual
6.0,324.00000,dx/dt = t*t*t,actual
7.0,600.25000,dx/dt = t*t*t,actual
8.0,1024.00000,dx/dt = t*t*t,actual
9.0,1640.25000,dx/dt = t*t*t,actual
10.0,2500.00000,dx/dt = t*t*t,actual
0.0,0.00000,dx/dt = t*t*t,eulerian
1.0,0.00000,dx/dt = t*t*t,eulerian
2.0,1.00000,dx/dt = t*t*t,eulerian
3.0,9.00000,dx/dt = t*t*t,eulerian
4.0,36.00000,dx/dt = t*t*t,eulerian
5.0,100.00000,dx/dt = t*t*t,eulerian
6.0,225.00000,dx/dt = t*t*t,eulerian
7.0,441.00000,dx/dt = t*t*t,eulerian
8.0,784.00000,dx/dt = t*t*t,eulerian
9.0,1296.00000,dx/dt = t*t*t,eulerian
10.0,2025.00000,dx/dt = t*t*t,eulerian
0.0,0.00000,dx/dt = t*t*t,minpoint
1.0,0.12500,dx/dt = t*t*t,minpoint
2.0,3.50000,dx/dt = t*t*t,minpoint
3.0,19.12500,dx/dt = t*t*t,minpoint
4.0,62.00000,dx/dt = t*t*t,minpoint
5.0,153.12500,dx/dt = t*t*t,minpoint
6.0,319.50000,dx/dt = t*t*t,minpoint
7.0,594.12500,dx/dt = t*t*t,minpoint
8.0,1016.00000,dx/dt = t*t*t,minpoint
9.0,1630.12500,dx/dt = t*t*t,minpoint
10.0,2487.50000,dx/dt = t*t*t,minpoint
0.0,0.00000,dx/dt = t*t*t,rk4
1.0,0.25000,dx/dt = t*t*t,rk4
2.0,4.00000,dx/dt = t*t*t,rk4
3.0,20.25000,dx/dt = t*t*t,rk4
4.0,64.00000,dx/dt = t*t*t,rk4
5.0,156.25000,dx/dt = t*t*t,rk4
6.0,324.00000,dx/dt = t*t*t,rk4
7.0,600.25000,dx/dt = t*t*t,rk4
8.0,1024.00000,dx/dt = t*t*t,rk4
9.0,1640.25000,dx/dt = t*t*t,rk4
10.0,2500.00000,dx/dt = t*t*t,rk4
0.0,0.00000,dx/dt = t*t*t,heun
1.0,0.50000,dx/dt = t*t*t,heun
2.0,5.00000,dx/dt = t*t*t,heun
3.0,22.50000,dx/dt = t*t*t,heun
4.0,68.00000,dx/dt = t*t*t,heun
5.0,162.50000,dx/dt = t*t*t,heun
6.0,333.00000,dx/dt = t*t*t,heun
7.0,612.50000,dx/dt = t*t*t,heun
8.0,1040.00000,dx/dt = t*t*t,heun
9.0,1660.50000,dx/dt = t*t*t,heun
10.0,2525.00000,dx/dt = t*t*t,heun
