t,x,dxdt,method
0.0,1.0,dx/dt = x,actual
0.1,1.10517,dx/dt = x,actual
0.2,1.22140,dx/dt = x,actual
0.3,1.34986,dx/dt = x,actual
0.4,1.49182,dx/dt = x,actual
0.5,1.64872,dx/dt = x,actual
0.6,1.82212,dx/dt = x,actual
0.70000005,2.01375,dx/dt = x,actual
0.8000001,2.22554,dx/dt = x,actual
0.9000001,2.45960,dx/dt = x,actual
1.0000001,2.71828,dx/dt = x,actual
1.1000001,3.00417,dx/dt = x,actual
1.2000002,3.32012,dx/dt = x,actual
1.3000002,3.66930,dx/dt = x,actual
1.4000002,4.05520,dx/dt = x,actual
1.5000002,4.48169,dx/dt = x,actual
1.6000003,4.95303,dx/dt = x,actual
1.7000003,5.47395,dx/dt = x,actual
1.8000003,6.04965,dx/dt = x,actual
1.9000003,6.68590,dx/dt = x,actual
2.0000002,7.38906,dx/dt = x,actual
0.0,1.00000,dx/dt = x,eulerian
0.1,1.10000,dx/dt = x,eulerian
0.2,1.21000,dx/dt = x,eulerian
0.3,1.33100,dx/dt = x,eulerian
0.4,1.46410,dx/dt = x,eulerian
0.5,1.61051,dx/dt = x,eulerian
0.6,1.77156,dx/dt = x,eulerian
0.70000005,1.94872,dx/dt = x,eulerian
0.8000001,2.14359,dx/dt = x,eulerian
0.9000001,2.35795,dx/dt = x,eulerian
1.0000001,2.59374,dx/dt = x,eulerian
1.1000001,2.85312,dx/dt = x,eulerian
1.2000002,3.13843,dx/dt = x,eulerian
1.3000002,3.45227,dx/dt = x,eulerian
1.4000002,3.79750,dx/dt = x,eulerian
1.5000002,4.17725,dx/dt = x,eulerian
1.6000003,4.59497,dx/dt = x,eulerian
1.7000003,5.05447,dx/dt = x,eulerian
1.8000003,5.55992,dx/dt = x,eulerian
1.9000003,6.11591,dx/dt = x,eulerian
2.0000002,6.72750,dx/dt = x,eulerian
0.0,1.00000,dx/dt = x,minpoint
0.1,1.10500,dx/dt = x,minpoint
0.2,1.22075,dx/dt = x,minpoint
0.3,1.34861,dx/dt = x,minpoint
0.4,1.48987,dx/dt = x,minpoint
0.5,1.64592,dx/dt = x,minpoint
0.6,1.81831,dx/dt = x,minpoint
0.70000005,2.00876,dx/dt = x,minpoint
0.8000001,2.21916,dx/dt = x,minpoint
0.9000001,2.45160,dx/dt = x,minpoint
1.0000001,2.70838,dx/dt = x,minpoint
1.1000001,2.99205,dx/dt = x,minpoint
1.2000002,3.30544,dx/dt = x,minpoint
1.3000002,3.65166,dx/dt = x,minpoint
1.4000002,4.03413,dx/dt = x,minpoint
1.5000002,4.45667,dx/dt = x,minpoint
1.6000003,4.92346,dx/dt = x,minpoint
1.7000003,5.43915,dx/dt = x,minpoint
1.8000003,6.00885,dx/dt = x,minpoint
1.9000003,6.63822,dx/dt = x,minpoint
2.0000002,7.33351,dx/dt = x,minpoint
0.0,1.00000,dx/dt = x,rk4
0.1,1.10517,dx/dt = x,rk4
0.2,1.22140,dx/dt = x,rk4
0.3,1.34986,dx/dt = x,rk4
0.4,1.49182,dx/dt = x,rk4
0.5,1.64872,dx/dt = x,rk4
0.6,1.82212,dx/dt = x,rk4
0.70000005,2.01375,dx/dt = x,rk4
0.8000001,2.22554,dx/dt = x,rk4
0.9000001,2.45960,dx/dt = x,rk4
1.0000001,2.71828,dx/dt = x,rk4
1.1000001,3.00416,dx/dt = x,rk4
1.2000002,3.32011,dx/dt = x,rk4
1.3000002,3.66929,dx/dt = x,rk4
1.4000002,4.05520,dx/dt = x,rk4
1.5000002,4.48169,dx/dt = x,rk4
1.6000003,4.95303,dx/dt = x,rk4
1.7000003,5.47394,dx/dt = x,rk4
1.8000003,6.04964,dx/dt = x,rk4
1.9000003,6.68589,dx/dt = x,rk4
2.0000002,7.38905,dx/dt = x,rk4
0.0,1.00000,dx/dt = x,heun
0.1,1.10500,dx/dt = x,heun
0.2,1.22102,dx/dt = x,heun
0.3,1.34923,dx/dt = x,heun
0.4,1.49090,dx/dt = x,heun
0.5,1.64745,dx/dt = x,heun
0.6,1.82043,dx/dt = x,heun
0.70000005,2.01157,dx/dt = x,heun
0.8000001,2.22279,dx/dt = x,heun
0.9000001,2.45618,dx/dt = x,heun
1.0000001,2.71408,dx/dt = x,heun
1.1000001,2.99906,dx/dt = x,heun
1.2000002,3.31396,dx/dt = x,heun
1.3000002,3.66193,dx/dt = x,heun
1.4000002,4.04643,dx/dt = x,heun
1.5000002,4.47130,dx/dt = x,heun
1.6000003,4.94079,dx/dt = x,heun
1.7000003,5.45957,dx/dt = x,heun
1.8000003,6.03283,dx/dt = x,heun
1.9000003,6.66628,dx/dt = x,heun
2.0000002,7.36623,dx/dt = x,heun
