t,x,dxdt,method
0.0,0.0,dx/dt = 2,actual
1.0,2.00000,dx/dt = 2,actual
2.0,4.00000,dx/dt = 2,actual
3.0,6.00000,dx/dt = 2,actual
4.0,8.00000,dx/dt = 2,actual
5.0,10.00000,dx/dt = 2,actual
6.0,12.00000,dx/dt = 2,actual
7.0,14.00000,dx/dt = 2,actual
8.0,16.00000,dx/dt = 2,actual
9.0,18.00000,dx/dt = 2,actual
10.0,20.00000,dx/dt = 2,actual
0.0,0.00000,dx/dt = 2,eulerian
1.0,2.00000,dx/dt = 2,eulerian
2.0,4.00000,dx/dt = 2,eulerian
3.0,6.00000,dx/dt = 2,eulerian
4.0,8.00000,dx/dt = 2,eulerian
5.0,10.00000,dx/dt = 2,eulerian
6.0,12.00000,dx/dt = 2,eulerian
7.0,14.00000,dx/dt = 2,eulerian
8.0,16.00000,dx/dt = 2,eulerian
9.0,18.00000,dx/dt = 2,eulerian
10.0,20.00000,dx/dt = 2,eulerian
0.0,0.00000,dx/dt = 2,minpoint
1.0,2.00000,dx/dt = 2,minpoint
2.0,4.00000,dx/dt = 2,minpoint
3.0,6.00000,dx/dt = 2,minpoint
4.0,8.00000,dx/dt = 2,minpoint
5.0,10.00000,dx/dt = 2,minpoint
6.0,12.00000,dx/dt = 2,minpoint
7.0,14.00000,dx/dt = 2,minpoint
8.0,16.00000,dx/dt = 2,minpoint
9.0,18.00000,dx/dt = 2,minpoint
10.0,20.00000,dx/dt = 2,minpoint
0.0,0.00000,dx/dt = 2,rk4
1.0,2.00000,dx/dt = 2,rk4
2.0,4.00000,dx/dt = 2,rk4
3.0,6.00000,dx/dt = 2,rk4
4.0,8.00000,dx/dt = 2,rk4
5.0,10.00000,dx/dt = 2,rk4
6.0,12.00000,dx/dt = 2,rk4
7.0,14.00000,dx/dt = 2,rk4
8.0,16.00000,dx/dt = 2,rk4
9.0,18.00000,dx/dt = 2,rk4
10.0,20.00000,dx/dt = 2,rk4
0.0,0.00000,dx/dt = 2,heun
1.0,2.00000,dx/dt = 2,heun
2.0,4.00000,dx/dt = 2,heun
3.0,6.00000,dx/dt = 2,heun
4.0,8.00000,dx/dt = 2,heun
5.0,10.00000,dx/dt = 2,heun
6.0,12.00000,dx/dt = 2,heun
7.0,14.00000,dx/dt = 2,heun
8.0,16.00000,dx/dt = 2,heun
9.0,18.00000,dx/dt = 2,heun
10.0,20.00000,dx/dt = 2,heun
