t,x,dxdt,method
1.0,0.69089,dx/dt = sin(t) + t*cos(t),heun
2.0,1.42028,dx/dt = sin(t) + t*cos(t),heun
3.0,0.04435,dx/dt = sin(t) + t*cos(t),heun
4.0,-3.05577,dx/dt = sin(t) + t*cos(t),heun
5.0,-4.51176,dx/dt = sin(t) + t*cos(t),heun
6.0,-1.54127,dx/dt = sin(t) + t*cos(t),heun
7.0,4.16669,dx/dt = sin(t) + t*cos(t),heun
8.0,7.04652,dx/dt = sin(t) + t*cos(t),heun
9.0,3.06517,dx/dt = sin(t) + t*cos(t),heun
10.0,-5.29623,dx/dt = sin(t) + t*cos(t),heun
11.0,-10.23925,dx/dt = sin(t) + t*cos(t),heun
12.0,-5.92006,dx/dt = sin(t) + t*cos(t),heun
13.0,4.98326,dx/dt = sin(t) + t*cos(t),heun
14.0,12.54421,dx/dt = sin(t) + t*cos(t),heun
15.0,8.62416,dx/dt = sin(t) + t*cos(t),heun
16.0,-4.55358,dx/dt = sin(t) + t*cos(t),heun
17.0,-15.17840,dx/dt = sin(t) + t*cos(t),heun
18.0,-12.43063,dx/dt = sin(t) + t*cos(t),heun
19.0,2.60436,dx/dt = sin(t) + t*cos(t),heun
20.0,16.60929,dx/dt = sin(t) + t*cos(t),heun
