t,Actual,Eulerian,Midpoint,Rk4,Heun,dxdt,function
0.0,0.00000,0.00000,0.00000,0.00000,0.00000,dx/dt = 2*t,t*t
0.2,0.04000,0.00000,0.04000,0.04000,0.04000,dx/dt = 2*t,t*t
0.4,0.16000,0.08000,0.16000,0.16000,0.16000,dx/dt = 2*t,t*t
0.6,0.36000,0.24000,0.36000,0.36000,0.36000,dx/dt = 2*t,t*t
0.8,0.64000,0.48000,0.64000,0.64000,0.64000,dx/dt = 2*t,t*t
1.0,1.00000,0.80000,1.00000,1.00000,1.00000,dx/dt = 2*t,t*t
1.2,1.44000,1.20000,1.44000,1.44000,1.44000,dx/dt = 2*t,t*t
1.4,1.96000,1.68000,1.96000,1.96000,1.96000,dx/dt = 2*t,t*t
1.6,2.56000,2.24000,2.56000,2.56000,2.56000,dx/dt = 2*t,t*t
1.8000001,3.24000,2.88000,3.24000,3.24000,3.24000,dx/dt = 2*t,t*t
2.0,4.00000,3.60000,4.00000,4.00000,4.00000,dx/dt = 2*t,t*t
2.2,4.84000,4.40000,4.84000,4.84000,4.84000,dx/dt = 2*t,t*t
2.4,5.76000,5.28000,5.76000,5.76000,5.76000,dx/dt = 2*t,t*t
2.6000001,6.76000,6.24000,6.76000,6.76000,6.76000,dx/dt = 2*t,t*t
2.8,7.84000,7.28000,7.84000,7.84000,7.84000,dx/dt = 2*t,t*t
3.0,9.00000,8.40000,9.00000,9.00000,9.00000,dx/dt = 2*t,t*t
3.2,10.24000,9.60000,10.24000,10.24000,10.24000,dx/dt = 2*t,t*t
3.4,11.56000,10.88000,11.56000,11.56000,11.56000,dx/dt = 2*t,t*t
3.6000001,12.96000,12.24000,12.96000,12.96000,12.96000,dx/dt = 2*t,t*t
3.8,14.44001,13.68000,14.44000,14.44000,14.44000,dx/dt = 2*t,t*t
4.0,16.00000,15.20000,16.00000,16.00000,16.00000,dx/dt = 2*t,t*t
4.2000003,17.64000,16.80000,17.64000,17.64000,17.64000,dx/dt = 2*t,t*t
4.4,19.36000,18.48000,19.36000,19.36000,19.36000,dx/dt = 2*t,t*t
4.6,21.16000,20.24000,21.16000,21.16000,21.16000,dx/dt = 2*t,t*t
4.8,23.04000,22.08000,23.04000,23.04000,23.04000,dx/dt = 2*t,t*t
5.0,25.00000,24.00000,25.00000,25.00000,25.00000,dx/dt = 2*t,t*t
5.2000003,27.03999,26.00000,27.04000,27.04000,27.04000,dx/dt = 2*t,t*t
5.4,29.15999,28.08000,29.16000,29.16000,29.16000,dx/dt = 2*t,t*t
5.6,31.35999,30.24000,31.35999,31.36000,31.35999,dx/dt = 2*t,t*t
5.8,33.63998,32.48000,33.64000,33.64000,33.64000,dx/dt = 2*t,t*t
6.0,35.99998,34.80000,36.00000,36.00000,36.00000,dx/dt = 2*t,t*t
6.2000003,38.43998,37.20000,38.43999,38.43999,38.43999,dx/dt = 2*t,t*t
6.4,40.95998,39.68000,40.96000,40.96000,40.96000,dx/dt = 2*t,t*t
6.6,43.55997,42.24000,43.55999,43.55999,43.55999,dx/dt = 2*t,t*t
6.8,46.23997,44.88000,46.23999,46.23999,46.23999,dx/dt = 2*t,t*t
7.0,48.99997,47.59999,48.99999,48.99999,48.99999,dx/dt = 2*t,t*t
7.2000003,51.83996,50.39999,51.83999,51.83999,51.83999,dx/dt = 2*t,t*t
7.4,54.75996,53.27999,54.75999,54.75999,54.75999,dx/dt = 2*t,t*t
7.6,57.75996,56.23999,57.75999,57.75999,57.75999,dx/dt = 2*t,t*t
7.8,60.83995,59.27999,60.83999,60.83999,60.83999,dx/dt = 2*t,t*t
