t,Actual,Eulerian,Midpoint,Rk4,Heun,dxdt,function
0.0,0.00000,0.00000,0.00000,0.00000,0.00000,dx/dt = 2*t,t*t
1.0,1.00000,0.00000,1.00000,1.00000,1.00000,dx/dt = 2*t,t*t
2.0,4.00000,2.00000,4.00000,4.00000,4.00000,dx/dt = 2*t,t*t
3.0,9.00000,6.00000,9.00000,9.00000,9.00000,dx/dt = 2*t,t*t
4.0,16.00000,12.00000,16.00000,16.00000,16.00000,dx/dt = 2*t,t*t
5.0,25.00000,20.00000,25.00000,25.00000,25.00000,dx/dt = 2*t,t*t
6.0,36.00000,30.00000,36.00000,36.00000,36.00000,dx/dt = 2*t,t*t
7.0,49.00000,42.00000,49.00000,49.00000,49.00000,dx/dt = 2*t,t*t
8.0,64.00000,56.00000,64.00000,64.00000,64.00000,dx/dt = 2*t,t*t
9.0,81.00000,72.00000,81.00000,81.00000,81.00000,dx/dt = 2*t,t*t
