t,x,dxdt,method
0.0,1.0,dx/dt = x,actual
0.1,1.10517,dx/dt = x,actual
0.2,1.22140,dx/dt = x,actual
0.3,1.34986,dx/dt = x,actual
0.4,1.49182,dx/dt = x,actual
0.5,1.64872,dx/dt = x,actual
0.6,1.82212,dx/dt = x,actual
0.70000005,2.01375,dx/dt = x,actual
0.8000001,2.22554,dx/dt = x,actual
0.9000001,2.45960,dx/dt = x,actual
1.0000001,2.71828,dx/dt = x,actual
1.1000001,3.00417,dx/dt = x,actual
1.2000002,3.32012,dx/dt = x,actual
1.3000002,3.66930,dx/dt = x,actual
1.4000002,4.05520,dx/dt = x,actual
1.5000002,4.48169,dx/dt = x,actual
1.6000003,4.95303,dx/dt = x,actual
1.7000003,5.47395,dx/dt = x,actual
1.8000003,6.04965,dx/dt = x,actual
1.9000003,6.68590,dx/dt = x,actual
2.0000002,7.38906,dx/dt = x,actual
2.1000001,8.16617,dx/dt = x,actual
2.2,9.02501,dx/dt = x,actual
2.3,9.97418,dx/dt = x,actual
2.3999999,11.02318,dx/dt = x,actual
2.4999998,12.18249,dx/dt = x,actual
2.5999997,13.46373,dx/dt = x,actual
2.6999996,14.87973,dx/dt = x,actual
2.7999995,16.44464,dx/dt = x,actual
2.8999994,18.17413,dx/dt = x,actual
2.9999993,20.08552,dx/dt = x,actual
3.0999992,22.19793,dx/dt = x,actual
3.199999,24.53251,dx/dt = x,actual
3.299999,27.11261,dx/dt = x,actual
3.399999,29.96407,dx/dt = x,actual
3.4999988,33.11541,dx/dt = x,actual
3.5999987,36.59819,dx/dt = x,actual
3.6999986,40.44725,dx/dt = x,actual
3.7999985,44.70112,dx/dt = x,actual
3.8999984,49.40237,dx/dt = x,actual
3.9999983,54.59806,dx/dt = x,actual
4.0999985,60.34019,dx/dt = x,actual
4.1999984,66.68623,dx/dt = x,actual
4.2999983,73.69967,dx/dt = x,actual
4.399998,81.45072,dx/dt = x,actual
4.499998,90.01696,dx/dt = x,actual
4.599998,99.48412,dx/dt = x,actual
4.699998,109.94695,dx/dt = x,actual
4.799998,121.51015,dx/dt = x,actual
4.8999977,134.28947,dx/dt = x,actual
4.9999976,148.41281,dx/dt = x,actual
5.0999975,164.02150,dx/dt = x,actual
5.1999974,181.27177,dx/dt = x,actual
5.2999973,200.33627,dx/dt = x,actual
5.399997,221.40581,dx/dt = x,actual
5.499997,244.69124,dx/dt = x,actual
5.599997,270.42560,dx/dt = x,actual
5.699997,298.86649,dx/dt = x,actual
5.799997,330.29852,dx/dt = x,actual
5.8999968,365.03629,dx/dt = x,actual
5.9999967,403.42746,dx/dt = x,actual
0.0,1.00000,dx/dt = x,eulerian
0.1,1.10000,dx/dt = x,eulerian
0.2,1.21000,dx/dt = x,eulerian
0.3,1.33100,dx/dt = x,eulerian
0.4,1.46410,dx/dt = x,eulerian
0.5,1.61051,dx/dt = x,eulerian
0.6,1.77156,dx/dt = x,eulerian
0.70000005,1.94872,dx/dt = x,eulerian
0.8000001,2.14359,dx/dt = x,eulerian
0.9000001,2.35795,dx/dt = x,eulerian
1.0000001,2.59374,dx/dt = x,eulerian
1.1000001,2.85312,dx/dt = x,eulerian
1.2000002,3.13843,dx/dt = x,eulerian
1.3000002,3.45227,dx/dt = x,eulerian
1.4000002,3.79750,dx/dt = x,eulerian
1.5000002,4.17725,dx/dt = x,eulerian
1.6000003,4.59497,dx/dt = x,eulerian
1.7000003,5.05447,dx/dt = x,eulerian
1.8000003,5.55992,dx/dt = x,eulerian
1.9000003,6.11591,dx/dt = x,eulerian
2.0000002,6.72750,dx/dt = x,eulerian
2.1000001,7.40025,dx/dt = x,eulerian
2.2,8.14028,dx/dt = x,eulerian
2.3,8.95430,dx/dt = x,eulerian
2.3999999,9.84973,dx/dt = x,eulerian
2.4999998,10.83471,dx/dt = x,eulerian
2.5999997,11.91818,dx/dt = x,eulerian
2.6999996,13.10999,dx/dt = x,eulerian
2.7999995,14.42099,dx/dt = x,eulerian
2.8999994,15.86309,dx/dt = x,eulerian
2.9999993,17.44940,dx/dt = x,eulerian
3.0999992,19.19434,dx/dt = x,eulerian
3.199999,21.11378,dx/dt = x,eulerian
3.299999,23.22515,dx/dt = x,eulerian
3.399999,25.54767,dx/dt = x,eulerian
3.4999988,28.10244,dx/dt = x,eulerian
3.5999987,30.91268,dx/dt = x,eulerian
3.6999986,34.00395,dx/dt = x,eulerian
3.7999985,37.40434,dx/dt = x,eulerian
3.8999984,41.14478,dx/dt = x,eulerian
3.9999983,45.25925,dx/dt = x,eulerian
4.0999985,49.78518,dx/dt = x,eulerian
4.1999984,54.76370,dx/dt = x,eulerian
4.2999983,60.24007,dx/dt = x,eulerian
4.399998,66.26408,dx/dt = x,eulerian
4.499998,72.89049,dx/dt = x,eulerian
4.599998,80.17953,dx/dt = x,eulerian
4.699998,88.19749,dx/dt = x,eulerian
4.799998,97.01723,dx/dt = x,eulerian
4.8999977,106.71896,dx/dt = x,eulerian
4.9999976,117.39085,dx/dt = x,eulerian
5.0999975,129.12994,dx/dt = x,eulerian
5.1999974,142.04294,dx/dt = x,eulerian
5.2999973,156.24724,dx/dt = x,eulerian
5.399997,171.87196,dx/dt = x,eulerian
5.499997,189.05916,dx/dt = x,eulerian
5.599997,207.96507,dx/dt = x,eulerian
5.699997,228.76158,dx/dt = x,eulerian
5.799997,251.63774,dx/dt = x,eulerian
5.8999968,276.80151,dx/dt = x,eulerian
5.9999967,304.48166,dx/dt = x,eulerian
0.0,1.00000,dx/dt = x,minpoint
0.1,1.10500,dx/dt = x,minpoint
0.2,1.22075,dx/dt = x,minpoint
0.3,1.34861,dx/dt = x,minpoint
0.4,1.48987,dx/dt = x,minpoint
0.5,1.64592,dx/dt = x,minpoint
0.6,1.81831,dx/dt = x,minpoint
0.70000005,2.00876,dx/dt = x,minpoint
0.8000001,2.21916,dx/dt = x,minpoint
0.9000001,2.45160,dx/dt = x,minpoint
1.0000001,2.70838,dx/dt = x,minpoint
1.1000001,2.99205,dx/dt = x,minpoint
1.2000002,3.30544,dx/dt = x,minpoint
1.3000002,3.65166,dx/dt = x,minpoint
1.4000002,4.03413,dx/dt = x,minpoint
1.5000002,4.45667,dx/dt = x,minpoint
1.6000003,4.92346,dx/dt = x,minpoint
1.7000003,5.43915,dx/dt = x,minpoint
1.8000003,6.00885,dx/dt = x,minpoint
1.9000003,6.63822,dx/dt = x,minpoint
2.0000002,7.33351,dx/dt = x,minpoint
2.1000001,8.10163,dx/dt = x,minpoint
2.2,8.95020,dx/dt = x,minpoint
2.3,9.88764,dx/dt = x,minpoint
2.3999999,10.92328,dx/dt = x,minpoint
2.4999998,12.06739,dx/dt = x,minpoint
2.5999997,13.33133,dx/dt = x,minpoint
2.6999996,14.72766,dx/dt = x,minpoint
2.7999995,16.27025,dx/dt = x,minpoint
2.8999994,17.97440,dx/dt = x,minpoint
2.9999993,19.85705,dx/dt = x,minpoint
3.0999992,21.93689,dx/dt = x,minpoint
3.199999,24.23457,dx/dt = x,minpoint
3.299999,26.77291,dx/dt = x,minpoint
3.399999,29.57712,dx/dt = x,minpoint
3.4999988,32.67504,dx/dt = x,minpoint
3.5999987,36.09744,dx/dt = x,minpoint
3.6999986,39.87831,dx/dt = x,minpoint
3.7999985,44.05518,dx/dt = x,minpoint
3.8999984,48.66954,dx/dt = x,minpoint
3.9999983,53.76721,dx/dt = x,minpoint
4.0999985,59.39882,dx/dt = x,minpoint
4.1999984,65.62028,dx/dt = x,minpoint
4.2999983,72.49338,dx/dt = x,minpoint
4.399998,80.08637,dx/dt = x,minpoint
4.499998,88.47466,dx/dt = x,minpoint
4.599998,97.74153,dx/dt = x,minpoint
4.699998,107.97903,dx/dt = x,minpoint
4.799998,119.28880,dx/dt = x,minpoint
4.8999977,131.78317,dx/dt = x,minpoint
4.9999976,145.58621,dx/dt = x,minpoint
5.0999975,160.83499,dx/dt = x,minpoint
5.1999974,177.68092,dx/dt = x,minpoint
5.2999973,196.29132,dx/dt = x,minpoint
5.399997,216.85097,dx/dt = x,minpoint
5.499997,239.56404,dx/dt = x,minpoint
5.599997,264.65610,dx/dt = x,minpoint
5.699997,292.37631,dx/dt = x,minpoint
5.799997,322.99994,dx/dt = x,minpoint
5.8999968,356.83112,dx/dt = x,minpoint
5.9999967,394.20578,dx/dt = x,minpoint
0.0,1.00000,dx/dt = x,rk4
0.1,1.10517,dx/dt = x,rk4
0.2,1.22140,dx/dt = x,rk4
0.3,1.34986,dx/dt = x,rk4
0.4,1.49182,dx/dt = x,rk4
0.5,1.64872,dx/dt = x,rk4
0.6,1.82212,dx/dt = x,rk4
0.70000005,2.01375,dx/dt = x,rk4
0.8000001,2.22554,dx/dt = x,rk4
0.9000001,2.45960,dx/dt = x,rk4
1.0000001,2.71828,dx/dt = x,rk4
1.1000001,3.00416,dx/dt = x,rk4
1.2000002,3.32011,dx/dt = x,rk4
1.3000002,3.66929,dx/dt = x,rk4
1.4000002,4.05520,dx/dt = x,rk4
1.5000002,4.48169,dx/dt = x,rk4
1.6000003,4.95303,dx/dt = x,rk4
1.7000003,5.47394,dx/dt = x,rk4
1.8000003,6.04964,dx/dt = x,rk4
1.9000003,6.68589,dx/dt = x,rk4
2.0000002,7.38905,dx/dt = x,rk4
2.1000001,8.16616,dx/dt = x,rk4
2.2,9.02500,dx/dt = x,rk4
2.3,9.97417,dx/dt = x,rk4
2.3999999,11.02316,dx/dt = x,rk4
2.4999998,12.18247,dx/dt = x,rk4
2.5999997,13.46372,dx/dt = x,rk4
2.6999996,14.87971,dx/dt = x,rk4
2.7999995,16.44462,dx/dt = x,rk4
2.8999994,18.17411,dx/dt = x,rk4
2.9999993,20.08550,dx/dt = x,rk4
3.0999992,22.19790,dx/dt = x,rk4
3.199999,24.53248,dx/dt = x,rk4
3.299999,27.11258,dx/dt = x,rk4
3.399999,29.96403,dx/dt = x,rk4
3.4999988,33.11537,dx/dt = x,rk4
3.5999987,36.59814,dx/dt = x,rk4
3.6999986,40.44720,dx/dt = x,rk4
3.7999985,44.70107,dx/dt = x,rk4
3.8999984,49.40231,dx/dt = x,rk4
3.9999983,54.59800,dx/dt = x,rk4
4.0999985,60.34011,dx/dt = x,rk4
4.1999984,66.68613,dx/dt = x,rk4
4.2999983,73.69957,dx/dt = x,rk4
4.399998,81.45061,dx/dt = x,rk4
4.499998,90.01685,dx/dt = x,rk4
4.599998,99.48399,dx/dt = x,rk4
4.699998,109.94681,dx/dt = x,rk4
4.799998,121.51001,dx/dt = x,rk4
4.8999977,134.28932,dx/dt = x,rk4
4.9999976,148.41264,dx/dt = x,rk4
5.0999975,164.02133,dx/dt = x,rk4
5.1999974,181.27159,dx/dt = x,rk4
