t,Actual,Eulerian,Midpoint,Rk4,Heun,dxdt,function
4.4,-4.18705,-4.07055,-4.18771,-4.18705,-4.18574,dx/dt = sin(t) + t*cos(t),t*sin(t)
4.5,-4.39888,-4.30093,-4.39971,-4.39889,-4.39724,dx/dt = sin(t) + t*cos(t),t*sin(t)
4.6,-4.57098,-4.49355,-4.57196,-4.57098,-4.56903,dx/dt = sin(t) + t*cos(t),t*sin(t)
4.7000003,-4.69964,-4.64451,-4.70076,-4.69964,-4.69741,dx/dt = sin(t) + t*cos(t),t*sin(t)
4.8,-4.78159,-4.75032,-4.78283,-4.78159,-4.77913,dx/dt = sin(t) + t*cos(t),t*sin(t)
4.9,-4.81402,-4.80794,-4.81535,-4.81402,-4.81137,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.0,-4.79462,-4.81480,-4.79603,-4.79463,-4.79183,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.1,-4.72166,-4.76886,-4.72311,-4.72166,-4.71876,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.2000003,-4.59397,-4.66867,-4.59545,-4.59397,-4.59103,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.3,-4.41102,-4.51339,-4.41250,-4.41103,-4.40809,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.4,-4.17294,-4.30280,-4.17438,-4.17294,-4.17007,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.5,-3.88048,-4.03734,-3.88186,-3.88049,-3.87774,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.6,-3.53510,-3.71813,-3.53639,-3.53511,-3.53254,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.7000003,-3.13892,-3.34694,-3.14009,-3.13892,-3.13658,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.8,-2.69471,-2.92623,-2.69574,-2.69471,-2.69266,dx/dt = sin(t) + t*cos(t),t*sin(t)
5.9,-2.20589,-2.45909,-2.20675,-2.20589,-2.20417,dx/dt = sin(t) + t*cos(t),t*sin(t)
