t,Actual,Eulerian,Midpoint,Rk4,Heun,dxdt,function
0.0,0.00000,0.00000,0.00000,0.00000,0.00000,dx/dt = sin(t) + t*cos(t),t*sin(t)
0.1,0.00998,0.00000,0.00999,0.00998,0.00997,dx/dt = sin(t) + t*cos(t),t*sin(t)
0.2,0.03973,0.01993,0.03977,0.03973,0.03967,dx/dt = sin(t) + t*cos(t),t*sin(t)
0.3,0.08866,0.05940,0.08873,0.08866,0.08851,dx/dt = sin(t) + t*cos(t),t*sin(t)
0.4,0.15577,0.11761,0.15590,0.15577,0.15551,dx/dt = sin(t) + t*cos(t),t*sin(t)
0.5,0.23971,0.19340,0.23991,0.23971,0.23931,dx/dt = sin(t) + t*cos(t),t*sin(t)
0.6,0.33879,0.28522,0.33907,0.33879,0.33821,dx/dt = sin(t) + t*cos(t),t*sin(t)
0.7,0.45095,0.39120,0.45134,0.45095,0.45018,dx/dt = sin(t) + t*cos(t),t*sin(t)
0.8,0.57388,0.50916,0.57438,0.57388,0.57290,dx/dt = sin(t) + t*cos(t),t*sin(t)
0.90000004,0.70499,0.63664,0.70560,0.70499,0.70378,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.0,0.84147,0.77091,0.84221,0.84147,0.84000,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.1,0.98033,0.90909,0.98119,0.98033,0.97860,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.2,1.11845,1.04811,1.11944,1.11845,1.11645,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.3000001,1.25263,1.18480,1.25376,1.25263,1.25036,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.4,1.37963,1.31593,1.38090,1.37963,1.37710,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.5,1.49624,1.43827,1.49764,1.49624,1.49345,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.6,1.59932,1.54863,1.60084,1.59932,1.59627,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.7,1.68583,1.64391,1.68747,1.68583,1.68254,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.8000001,1.75293,1.72117,1.75468,1.75293,1.74942,dx/dt = sin(t) + t*cos(t),t*sin(t)
1.9,1.79797,1.77766,1.79982,1.79797,1.79427,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.0,1.81859,1.81087,1.82053,1.81860,1.81472,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.1000001,1.81274,1.81857,1.81475,1.81274,1.80872,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.2,1.77869,1.79887,1.78076,1.77869,1.77456,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.3,1.71512,1.75025,1.71723,1.71512,1.71091,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.4,1.62111,1.67158,1.62324,1.62111,1.61686,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.5,1.49618,1.56215,1.49831,1.49618,1.49193,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.6000001,1.34030,1.42171,1.34241,1.34030,1.33609,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.7,1.15393,1.25047,1.15599,1.15393,1.14979,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.8,0.93797,1.04911,0.93998,0.93797,0.93395,dx/dt = sin(t) + t*cos(t),t*sin(t)
2.9,0.69382,0.81879,0.69576,0.69382,0.68996,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.0,0.42336,0.56113,0.42520,0.42336,0.41969,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.1000001,0.12890,0.27825,0.13062,0.12890,0.12546,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.2,-0.18679,-0.02733,-0.18521,-0.18680,-0.18997,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.3,-0.52056,-0.35262,-0.51912,-0.52056,-0.52344,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.4,-0.86884,-0.69426,-0.86756,-0.86884,-0.87139,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.5,-1.22774,-1.04853,-1.22664,-1.22774,-1.22995,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.6000001,-1.59307,-1.41136,-1.59216,-1.59307,-1.59491,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.7,-1.96039,-1.77845,-1.95967,-1.96039,-1.96184,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.8,-2.32505,-2.14523,-2.32453,-2.32506,-2.32611,dx/dt = sin(t) + t*cos(t),t*sin(t)
3.9,-2.68228,-2.50698,-2.68197,-2.68229,-2.68293,dx/dt = sin(t) + t*cos(t),t*sin(t)
4.0,-3.02720,-2.85887,-3.02709,-3.02721,-3.02744,dx/dt = sin(t) + t*cos(t),t*sin(t)
4.1,-3.35493,-3.19601,-3.35502,-3.35494,-3.35477,dx/dt = sin(t) + t*cos(t),t*sin(t)
4.2000003,-3.66061,-3.51352,-3.66090,-3.66062,-3.66005,dx/dt = sin(t) + t*cos(t),t*sin(t)
4.3,-3.93951,-3.80659,-3.93999,-3.93951,-3.93857,dx/dt = sin(t) + t*cos(t),t*sin(t)
