t,x,dxdt,method
0.0,0.0,dx/dt = 2*t,actual
1.0,1.00000,dx/dt = 2*t,actual
2.0,4.00000,dx/dt = 2*t,actual
3.0,9.00000,dx/dt = 2*t,actual
4.0,16.00000,dx/dt = 2*t,actual
5.0,25.00000,dx/dt = 2*t,actual
6.0,36.00000,dx/dt = 2*t,actual
7.0,49.00000,dx/dt = 2*t,actual
8.0,64.00000,dx/dt = 2*t,actual
9.0,81.00000,dx/dt = 2*t,actual
10.0,100.00000,dx/dt = 2*t,actual
0.0,0.00000,dx/dt = 2*t,eulerian
1.0,0.00000,dx/dt = 2*t,eulerian
2.0,2.00000,dx/dt = 2*t,eulerian
3.0,6.00000,dx/dt = 2*t,eulerian
4.0,12.00000,dx/dt = 2*t,eulerian
5.0,20.00000,dx/dt = 2*t,eulerian
6.0,30.00000,dx/dt = 2*t,eulerian
7.0,42.00000,dx/dt = 2*t,eulerian
8.0,56.00000,dx/dt = 2*t,eulerian
9.0,72.00000,dx/dt = 2*t,eulerian
10.0,90.00000,dx/dt = 2*t,eulerian
0.0,0.00000,dx/dt = 2*t,minpoint
1.0,1.00000,dx/dt = 2*t,minpoint
2.0,4.00000,dx/dt = 2*t,minpoint
3.0,9.00000,dx/dt = 2*t,minpoint
4.0,16.00000,dx/dt = 2*t,minpoint
5.0,25.00000,dx/dt = 2*t,minpoint
6.0,36.00000,dx/dt = 2*t,minpoint
7.0,49.00000,dx/dt = 2*t,minpoint
8.0,64.00000,dx/dt = 2*t,minpoint
9.0,81.00000,dx/dt = 2*t,minpoint
10.0,100.00000,dx/dt = 2*t,minpoint
0.0,0.00000,dx/dt = 2*t,rk4
1.0,1.00000,dx/dt = 2*t,rk4
2.0,4.00000,dx/dt = 2*t,rk4
3.0,9.00000,dx/dt = 2*t,rk4
4.0,16.00000,dx/dt = 2*t,rk4
5.0,25.00000,dx/dt = 2*t,rk4
6.0,36.00000,dx/dt = 2*t,rk4
7.0,49.00000,dx/dt = 2*t,rk4
8.0,64.00000,dx/dt = 2*t,rk4
9.0,81.00000,dx/dt = 2*t,rk4
10.0,100.00000,dx/dt = 2*t,rk4
0.0,0.00000,dx/dt = 2*t,heun
1.0,1.00000,dx/dt = 2*t,heun
2.0,4.00000,dx/dt = 2*t,heun
3.0,9.00000,dx/dt = 2*t,heun
4.0,16.00000,dx/dt = 2*t,heun
5.0,25.00000,dx/dt = 2*t,heun
6.0,36.00000,dx/dt = 2*t,heun
7.0,49.00000,dx/dt = 2*t,heun
8.0,64.00000,dx/dt = 2*t,heun
9.0,81.00000,dx/dt = 2*t,heun
10.0,100.00000,dx/dt = 2*t,heun
