t,x,dxdt,method
0.0,0.0,dx/dt = 2*t*cos(t*t),actual
0.1,0.01000,dx/dt = 2*t*cos(t*t),actual
0.2,0.03999,dx/dt = 2*t*cos(t*t),actual
0.3,0.08988,dx/dt = 2*t*cos(t*t),actual
0.4,0.15932,dx/dt = 2*t*cos(t*t),actual
0.5,0.24740,dx/dt = 2*t*cos(t*t),actual
0.6,0.35227,dx/dt = 2*t*cos(t*t),actual
0.70000005,0.47063,dx/dt = 2*t*cos(t*t),actual
0.8000001,0.59720,dx/dt = 2*t*cos(t*t),actual
0.9000001,0.72429,dx/dt = 2*t*cos(t*t),actual
1.0000001,0.84147,dx/dt = 2*t*cos(t*t),actual
1.1000001,0.93562,dx/dt = 2*t*cos(t*t),actual
1.2000002,0.99146,dx/dt = 2*t*cos(t*t),actual
1.3000002,0.99290,dx/dt = 2*t*cos(t*t),actual
1.4000002,0.92521,dx/dt = 2*t*cos(t*t),actual
1.5000002,0.77807,dx/dt = 2*t*cos(t*t),actual
1.6000003,0.54935,dx/dt = 2*t*cos(t*t),actual
1.7000003,0.24895,dx/dt = 2*t*cos(t*t),actual
1.8000003,-0.09825,dx/dt = 2*t*cos(t*t),actual
1.9000003,-0.45147,dx/dt = 2*t*cos(t*t),actual
2.0000002,-0.75680,dx/dt = 2*t*cos(t*t),actual
2.1000001,-0.95463,dx/dt = 2*t*cos(t*t),actual
2.2,-0.99187,dx/dt = 2*t*cos(t*t),actual
2.3,-0.83777,dx/dt = 2*t*cos(t*t),actual
2.3999999,-0.49964,dx/dt = 2*t*cos(t*t),actual
2.4999998,-0.03318,dx/dt = 2*t*cos(t*t),actual
2.5999997,0.45895,dx/dt = 2*t*cos(t*t),actual
2.6999996,0.84513,dx/dt = 2*t*cos(t*t),actual
2.7999995,0.99990,dx/dt = 2*t*cos(t*t),actual
2.8999994,0.84937,dx/dt = 2*t*cos(t*t),actual
2.9999993,0.41212,dx/dt = 2*t*cos(t*t),actual
3.0999992,-0.18416,dx/dt = 2*t*cos(t*t),actual
3.199999,-0.72787,dx/dt = 2*t*cos(t*t),actual
3.299999,-0.99443,dx/dt = 2*t*cos(t*t),actual
3.399999,-0.84490,dx/dt = 2*t*cos(t*t),actual
3.4999988,-0.31113,dx/dt = 2*t*cos(t*t),actual
3.5999987,0.38353,dx/dt = 2*t*cos(t*t),actual
3.6999986,0.90167,dx/dt = 2*t*cos(t*t),actual
3.7999985,0.95450,dx/dt = 2*t*cos(t*t),actual
3.8999984,0.47765,dx/dt = 2*t*cos(t*t),actual
