t,x,dxdt,method
0.0,1.0,dx/dt = x,actual
1.0,2.71828,dx/dt = x,actual
2.0,7.38906,dx/dt = x,actual
3.0,20.08554,dx/dt = x,actual
4.0,54.59815,dx/dt = x,actual
5.0,148.41316,dx/dt = x,actual
6.0,403.42880,dx/dt = x,actual
7.0,1096.63318,dx/dt = x,actual
8.0,2980.95801,dx/dt = x,actual
9.0,8103.08398,dx/dt = x,actual
10.0,22026.46484,dx/dt = x,actual
0.0,1.00000,dx/dt = x,eulerian
1.0,2.00000,dx/dt = x,eulerian
2.0,4.00000,dx/dt = x,eulerian
3.0,8.00000,dx/dt = x,eulerian
4.0,16.00000,dx/dt = x,eulerian
5.0,32.00000,dx/dt = x,eulerian
6.0,64.00000,dx/dt = x,eulerian
7.0,128.00000,dx/dt = x,eulerian
8.0,256.00000,dx/dt = x,eulerian
9.0,512.00000,dx/dt = x,eulerian
10.0,1024.00000,dx/dt = x,eulerian
0.0,1.00000,dx/dt = x,minpoint
1.0,2.50000,dx/dt = x,minpoint
2.0,5.75000,dx/dt = x,minpoint
3.0,13.12500,dx/dt = x,minpoint
4.0,29.93750,dx/dt = x,minpoint
5.0,68.28125,dx/dt = x,minpoint
6.0,155.73438,dx/dt = x,minpoint
7.0,355.19531,dx/dt = x,minpoint
8.0,810.12109,dx/dt = x,minpoint
9.0,1847.70508,dx/dt = x,minpoint
10.0,4214.20215,dx/dt = x,minpoint
0.0,1.00000,dx/dt = x,rk4
1.0,2.70833,dx/dt = x,rk4
2.0,7.33507,dx/dt = x,rk4
3.0,19.86581,dx/dt = x,rk4
4.0,53.80325,dx/dt = x,rk4
5.0,145.71713,dx/dt = x,rk4
6.0,394.65057,dx/dt = x,rk4
7.0,1068.84534,dx/dt = x,rk4
8.0,2894.78931,dx/dt = x,rk4
9.0,7840.05469,dx/dt = x,rk4
10.0,21233.48047,dx/dt = x,rk4
0.0,1.00000,dx/dt = x,heun
1.0,2.50000,dx/dt = x,heun
2.0,6.25000,dx/dt = x,heun
3.0,15.62500,dx/dt = x,heun
4.0,39.06250,dx/dt = x,heun
5.0,97.65625,dx/dt = x,heun
6.0,244.14062,dx/dt = x,heun
7.0,610.35156,dx/dt = x,heun
8.0,1525.87891,dx/dt = x,heun
9.0,3814.69727,dx/dt = x,heun
10.0,9536.74316,dx/dt = x,heun
